rxn_ID	v_Control	v_FeLim	v_FeEX	v_ZnLim	v_ZnEx
bio1_biomass	0.42123333	1.3672956	1.1817249	1.2083015	0.93405926
EX_cpd00001_e0_i	339.34393	300.79538	297.95636	298.3199	306.71585
EX_cpd00002_e0_i	360.23087	361.63968	359.56744	359.59155	357.29257
EX_cpd00007_e0_o	57.301807	2.4604568	1.2285689	1.0450362	4.0389633
EX_cpd00008_e0_o	369.67203	371.64398	369.78772	370.43567	366.2467
EX_cpd00009_e0_o	320.7032	324.8471	329.42963	326.0064	326.0742
EX_cpd00011_e0_i	79.1281	65.90199	67.95515	68.10143	66.294624
EX_cpd00013_e0_i	27.20147	19.13549	24.269436	25.468163	18.62734
EX_cpd00048_e0_i	0.26107025	0.26107022	0.26107025	0.2610397	0.2610397
EX_cpd00067_e0_o	351.58252	355.52176	358.14948	357.99487	357.1271
EX_cpd11632_e0_i	451.61285	16.471977	3.0285416	2.6542432	26.073326
rxn_cpd00002_c0_i	397.8203	398.8689	398.78842	398.73358	397.67105
rxn_cpd00002_c0_o	37.797836	37.437607	39.42937	39.350418	40.58687
rxn_cpd00008_c0_i	13.327879	12.005669	14.087426	13.5072975	16.27231
rxn_cpd00008_c0_o	382.79153	383.44128	383.66678	383.7346	382.31064
rxn_cpd00103_c0_i	0.61147386	0.9024019	0.93911827	1.0478054	0.80988616
rxn_cpd00103_c0_o	1.9595145	3.4792788	1.8967079	1.8207952	1.7004944
rxn00001_d0_f	30.192871	33.34253	33.871338	35.627563	35.9635
rxn00001_d0_r	0	0	0	0	0
rxn00018_d0	74.19452	69.563225	70.346466	69.89435	70.99153
rxn00048_d0	0	0	0	0	0
rxn00069_d0_f	26.878296	0.75357056	0	0	0
rxn00069_d0_r	0	6.6102295	7.9467773	7.451538	4.5250244
rxn00076_d0	0	0	0	0	0
rxn00077_d0	0	0	0	0	0
rxn00086_d0_f	0.0569458	0.18969727	0.25634766	0.24987793	0.2767334
rxn00086_d0_r	0.3408203	0	0.15576172	0.15930176	0.11578369
rxn00097_d0_f	34.115845	37.34436	37.439087	39.308838	39.799805
rxn00097_d0_r	1.1795654	0.8791504	0.22161865	0	0.3026123
rxn00102_d0_f	26.282837	32.6192	32.28369	32.5141	25.788208
rxn00102_d0_r	27.95874	31.941833	31.335999	31.672241	26.19458
rxn00117_d0_f	6.1778564	6.295349	6.1207275	6.1349487	6.426483
rxn00117_d0_r	2.6136475	0.6930542	0.8474121	1.1898193	2.99646
rxn00121_d0	19.331726	20.998413	21.95166	23.20816	26.477905
rxn00122_d0_f	18.644165	20.261597	21.312134	22.629517	25.792175
rxn00122_d0_r	0	0	0	0	0
rxn00124_d0	0	0	0	0	0
rxn00148_d0_f	3.7504883	5.649414	2.9170532	6.0064697	3.5282593
rxn00148_d0_r	8.435791	8.000061	8.000061	9.377319	8
rxn00151_d0	0	0.7237549	0	0	0
rxn00154_c0	0	3.6201315	3.732657	3.930033	5.088522
rxn00154_d0	1.5390387	0.9914017	0.39539146	0.26017094	1.1547279
rxn00161_d0	0	1.666769	0	1.4342642	0.7161436
rxn00175_d0	0.17822708	0	0	0	0
rxn00179_d0_f	10.816162	10.415894	10.295166	10.399658	9.121582
rxn00179_d0_r	9.806213	9.288208	8.992798	8.949341	8.5043335
rxn00187_d0	27.108702	19.169594	24.350826	25.497797	18.424934
rxn00191_d0_f	1.237915	0.9119873	1.0351562	0.67163086	0.60931396
rxn00191_d0_r	0.8442383	0	0.58740234	0.4638672	0.18109131
rxn00192_d0	0	0	0	0	0
rxn00208_d0	0	0.014598296	0	0	0
rxn00209_d0	0	0	0	0	0
rxn00211_d0_f	4.564087	4.550049	4.469116	4.4526367	4.6481934
rxn00211_d0_r	5.3966064	3.298462	3.4780273	3.5823975	3.6259766
rxn00213_d0_f	2.373413	5.256775	4.811035	4.331299	3.1239014
rxn00213_d0_r	0	0	0	0	0
rxn00237_d0_f	13.306885	11.021423	12.843384	13.5269165	11.095123
rxn00237_d0_r	7.9223633	5.126526	6.9535522	6.942871	6.2891235
rxn00239_d0_f	9.46875	8.762207	8.796936	8.791199	9.058716
rxn00239_d0_r	8.48877	7.903076	7.7991333	7.8447876	8.14978
rxn00248_d0_f	24.898071	21.931396	26.349731	25.85669	24.534485
rxn00248_d0_r	8.941406	3.0046387	6.4381104	6.199402	7.183716
rxn00257_c0_f	45.16681	43.487793	43.13513	43.237976	42.70172
rxn00257_c0_r	44.733276	46.570435	46.135742	46.480957	47.171204
rxn00260_d0_f	12.514282	17.77649	14.587891	9.153809	14.105469
rxn00260_d0_r	28.701904	32.483276	29.467163	24.088379	25.690857
rxn00272_d0_f	0.3869629	0.04272461	0	0.07299805	0.86309814
rxn00272_d0_r	1.5936279	0.9334717	0.8132324	0.74487305	1.0232544
rxn00275_d0_f	1.1724854	1.2064209	2.066162	1.9182129	1.6660156
rxn00275_d0_r	1.2595215	0.19348145	1.4638672	0.9436035	0
rxn00300_d0	0	0	0	0	0
rxn00313_d0	0.010202736	0	0.12976274	0.18596707	0.06287831
rxn00330_c0	0	0	0	0	0
rxn00333_d0	0	0	0	0	0
rxn00337_d0_f	17.100342	12.597961	13.242737	12.358459	11.201904
rxn00337_d0_r	12.257263	10.2453	10.472656	10.555908	10.708679
rxn00338_d0	0	0	0	0	0
rxn00361_d0	0	0	0	0	0
rxn00391_d0_f	22.625	27.615112	34.263855	26.259521	34.118713
rxn00391_d0_r	0	0	0	0	0
rxn00392_d0	22.447763	27.493568	34.10284	26.15147	33.949486
rxn00394_d0	0	0	0	0	0
rxn00409_d0_f	4.9727783	4.692566	4.5860596	4.623474	4.384857
rxn00409_d0_r	4.614624	4.4454956	4.37854	4.376892	4.238434
rxn00414_d0	0.82097214	0.7289907	0.85831535	0.9495954	0.632358
rxn00416_d0	0.1759951	0.21569282	0.15526769	0.122492306	0.100746594
rxn00420_d0_f	5.697632	6.1397705	8.031616	8.386108	7.628357
rxn00420_d0_r	0	0	0	0	0
rxn00459_d0_f	15.039185	14.655518	12.69458	12.476685	12.427368
rxn00459_d0_r	2.7866821	6.774658	1.3674316	4.253418	3.91156
rxn00493_d0_f	2.6224976	3.235962	2.734375	2.8945312	3.1993408
rxn00493_d0_r	2.300537	2.0772705	1.6363525	1.777832	2.3340454
rxn00495_c0	0	0	0	0	0
rxn00499_c0_f	19.212769	19.841919	19.677185	19.774658	19.723572
rxn00499_c0_r	19.402832	18.915894	19.190308	19.053345	19.131042
rxn00506_d0	0	0	0	0	0
rxn00527_d0_f	2.3409424	2.564087	2.125	2.2288818	2.7521973
rxn00527_d0_r	2.0358887	1.6258545	1.3212891	1.3280029	2.0513916
rxn00533_d0_f	9.917969	10.13269	8.200317	8.20697	8.720703
rxn00533_d0_r	9.714661	12.448486	10.66571	10.723694	10.041626
rxn00611_d0_f	1.0032349	0.82958984	1.1446533	1.156189	1.2351379
rxn00611_d0_r	1.0267334	0	0	0	0
rxn00689_d0	0	0	0	0	0
rxn00692_d0_f	0	0	0	0	0
rxn00692_d0_r	4.221924	4.599243	5.6053467	6.2650146	5.6396484
rxn00693_d0_f	7.4622803	6.6795654	7.5343018	6.849243	7.5407715
rxn00693_d0_r	10.04126	11.096558	11.277832	10.609314	11.081421
rxn00710_c0	0.19054186	0.5445048	0.24816439	0.24030218	0.23988557
rxn00711_d0	0	0	0	0	0
rxn00720_d0_f	0.13458252	0.26574707	0.45977783	0.23486328	0.40222168
rxn00720_d0_r	0.23150635	0	0	0.008422852	0
rxn00737_d0	0.20675054	0.12938976	0.38092625	0.32914764	0.055913836
rxn00747_d0_f	48.3938	45.46399	43.518066	44.17688	45.78784
rxn00747_d0_r	0	0	0	0	0
rxn00770_d0	4.158424	4.5857296	5.270752	5.3634987	4.5704474
rxn00777_d0_f	22.100708	21.125427	20.931152	20.60962	21.904297
rxn00777_d0_r	0	2.022705	2.0131836	1.6494141	1.564331
rxn00781_d0_f	0	0	0	0	0
