rxn_ID	svpenalty_Control	svpenalty_FeLim	svpenalty_FeEX	svpenalty_ZnLim	svpenalty_ZnEx
bio1_biomass	1.2522764	1.4662188	1.1681563	1.1980195	1.1594129
EX_cpd00001_e0_i	339.39462	301.6381	298.93555	297.5202	308.92108
EX_cpd00002_e0_i	363.71768	366.9684	366.5142	365.97894	362.88486
EX_cpd00007_e0_o	57.784615	2.9986644	1.9825819	1.789966	4.7360697
EX_cpd00008_e0_o	374.16922	377.85477	376.8462	377.19077	372.98965
EX_cpd00009_e0_o	318.31137	323.24753	324.31326	322.9525	321.55426
EX_cpd00011_e0_i	80.38937	69.640495	72.448204	71.842	70.421684
EX_cpd00013_e0_i	27.37542	20.301123	27.424536	27.769598	18.847603
EX_cpd00048_e0_i	0.39163956	0.39163956	0.3916396	0.3916396	0.39163956
EX_cpd00067_e0_o	350.1696	354.25473	356.1647	356.13614	354.86917
EX_cpd11632_e0_i	451.31506	17.153936	3.8516307	3.387672	26.689062
rxn_cpd00002_c0_i	398.45383	399.49744	399.79773	399.76108	399.07108
rxn_cpd00002_c0_o	35.048733	32.841606	33.596127	34.094723	36.498806
rxn_cpd00008_c0_i	8.584234	5.915556	7.3093014	6.9484463	10.03113
rxn_cpd00008_c0_o	382.44086	383.45773	383.84293	383.82663	382.70822
rxn_cpd00103_c0_i	0.5213611	0.76137483	0.8286853	1.0188648	0.67952627
rxn_cpd00103_c0_o	1.9817888	3.420966	1.9631873	1.8415223	1.8145599
rxn00001_d0_f	27.558716	28.821777	28.247803	30.207275	31.366821
rxn00001_d0_r	0	0	0	0	0
rxn00018_d0	72.88666	68.7117	68.57364	68.53729	69.776566
rxn00048_d0	0	0	0	0	0
rxn00069_d0_f	24.247925	0	0	0	0
rxn00069_d0_r	0	7.179199	7.852051	7.371216	4.894165
rxn00076_d0	0	0	0	0	0
rxn00077_d0	0	0	0	0	0
rxn00086_d0_f	0	0.15612793	0.2076416	0.20483398	0.28552246
rxn00086_d0_r	0.3187256	0	0.17468262	0.18310547	0.16436768
rxn00097_d0_f	33.359985	36.654297	37.44348	39.362427	39.756836
rxn00097_d0_r	0	0	0	0	0
rxn00102_d0_f	30.347412	32.327698	33.03174	32.930603	23.815308
rxn00102_d0_r	32.950073	34.066956	33.444397	33.789795	27.073486
rxn00117_d0_f	5.996582	6.0668335	5.720215	5.9813843	6.0395813
rxn00117_d0_r	2.3964844	0.5722046	1.0093994	1.6538086	3.338379
rxn00121_d0	18.926208	20.60437	22.136902	22.988495	25.607971
rxn00122_d0_f	18.236206	19.759888	21.416992	22.29712	24.770569
rxn00122_d0_r	0	0	0	0	0
rxn00124_d0	0	0	0	0	0
rxn00148_d0_f	3.644043	7.486206	5.740906	9.339478	4.9866333
rxn00148_d0_r	8	9.064514	8.599548	11.633423	8.5789795
rxn00151_d0	0	0.3435669	0	0	0
rxn00154_c0	0	1.0722408	0.74174404	1.2993002	2.481213
rxn00154_d0	1.6647902	2.8759384	1.2329521	1.4712725	3.1342869
rxn00161_d0	0	2.2506456	0.1321311	2.0253944	1.0400991
rxn00175_d0	0.24513634	0	0	0	0
rxn00179_d0_f	12.080322	10.5772705	10.3186035	10.43457	10.2092285
rxn00179_d0_r	10.297913	9.168579	8.814819	8.788452	9.828674
rxn00187_d0	27.108702	20.178991	27.35615	27.702936	18.756927
rxn00191_d0_f	1.3078613	0.881958	0.40014648	0.50683594	0.44830322
rxn00191_d0_r	1.158081	0	0.73535156	0.54711914	0.22454834
rxn00192_d0	0	0	0	0	0
rxn00208_d0	0	0.024332417	0	0	0.004667609
rxn00209_d0	0	0	0	0	0
rxn00211_d0_f	4.668335	5.034912	4.7822266	4.7547607	4.944458
rxn00211_d0_r	5.934326	3.9455566	4.2227783	4.381836	4.266968
rxn00213_d0_f	1.908081	4.7217407	3.6429443	3.0356445	1.9532471
rxn00213_d0_r	0	0	0	0	0
rxn00237_d0_f	14.001099	11.021423	13.237549	13.806824	11.918854
rxn00237_d0_r	8.212402	4.722229	6.9020386	6.779663	6.7610474
rxn00239_d0_f	10.229492	9.094849	9.167297	9.03363	9.401611
rxn00239_d0_r	8.87207	7.8511963	7.7127075	7.6292114	8.11145
rxn00248_d0_f	25.88794	20.785156	25.942017	26.588257	25.195618
rxn00248_d0_r	7.859497	0.70410156	4.3743896	5.831604	7.092285
rxn00257_c0_f	45.25824	44.50049	44.746704	44.53058	43.92462
rxn00257_c0_r	44.540405	44.977905	44.75122	45.089966	45.824036
rxn00260_d0_f	14.044922	17.307983	3.930542	4.7280273	14.42981
rxn00260_d0_r	32.482178	35.186157	22.76892	22.953491	28.829529
rxn00272_d0_f	0.12841797	0	0.15576172	0	0.69573975
rxn00272_d0_r	1.2410889	0.48571777	0.35058594	0.4489746	0.46832275
rxn00275_d0_f	1.1044922	1.5072021	2.2941895	2.1713867	1.8791504
rxn00275_d0_r	1.2998047	0.9659424	2.0234375	2.005127	0
rxn00300_d0	0	0	0	0	0
rxn00313_d0	0	0	0	0.05730617	0
rxn00330_c0	0	0	0	0	0
rxn00333_d0	0	0	0	0	0
rxn00337_d0_f	20.574707	19.121033	20.678528	18.982239	17.737427
rxn00337_d0_r	13.740906	13.719177	14.187256	13.984497	14.42804
rxn00338_d0	0	0	0	0	0
rxn00361_d0	0	0	0	0	0
rxn00391_d0_f	23.217651	26.356323	32.00006	25.00415	32.765198
rxn00391_d0_r	0	0	0	0	0
rxn00392_d0	23.189013	26.304775	31.872614	24.923004	32.635944
rxn00394_d0	0	0	0	0	0
rxn00409_d0_f	5.161621	4.8862915	4.7492676	4.8025513	4.68515
rxn00409_d0_r	4.458252	4.28302	4.2008057	4.2001343	4.3074036
rxn00414_d0	0.82097214	0.7289907	0.85831535	0.9495954	0.632358
rxn00416_d0	0.1759951	0.21569282	0.15526769	0.122492306	0.100746594
rxn00420_d0_f	5.369385	4.5548096	7.121216	7.3829346	7.045105
rxn00420_d0_r	0	0	0	0	0
rxn00459_d0_f	14.609253	14.186401	11.431152	11.541626	11.401855
rxn00459_d0_r	1.7750854	3.1519775	0	1.6640625	1.4695435
rxn00493_d0_f	2.7476196	3.1514893	2.6015625	2.7531738	3.3225098
rxn00493_d0_r	2.1939697	1.555542	1.1239014	1.3432617	2.1747437
rxn00495_c0	0	0	0	0	0
rxn00499_c0_f	19.440186	19.830322	19.807434	19.954224	19.91571
rxn00499_c0_r	19.52771	18.892334	18.999756	19.109985	19.201965
rxn00506_d0	0	0	0	0	0
rxn00527_d0_f	2.373291	2.4261475	2.012207	2.10437	2.7443848
rxn00527_d0_r	1.9112549	1.1602783	0.92333984	0.9842529	1.8337402
rxn00533_d0_f	11.357056	11.115356	9.859497	10.018738	2.9638672
rxn00533_d0_r	10.709778	11.486328	11.383484	11.2439575	2.102539
rxn00611_d0_f	0.8607788	0.4440918	1.0394287	1.1119995	1.0647888
rxn00611_d0_r	1.1828613	0	0.047912598	0.17095947	0.03152466
rxn00689_d0	0	0	0	0	0
rxn00692_d0_f	0	0	0	0	0
rxn00692_d0_r	3.605835	3.043579	4.0821533	4.7540283	4.606201
rxn00693_d0_f	7.07666	4.843628	5.8099365	6.2735596	6.21875
rxn00693_d0_r	10.505005	10.841919	11.016602	11.434631	10.8758545
rxn00710_c0	0.101881444	0.49333	0.17918733	0.17263982	0.17780614
rxn00711_d0	0	0	0	0	0
rxn00720_d0_f	0	0.07775879	0.39471436	0.09057617	0.30273438
rxn00720_d0_r	0.18408203	0	0	0.036376953	0
rxn00737_d0	0.18260407	0.12938976	0.38092625	0.32914764	0.23250529
rxn00747_d0_f	46.566895	42.2489	40.31006	41.079712	42.874634
rxn00747_d0_r	0	0	0	0	0
rxn00770_d0	3.8185153	4.7521887	5.270752	5.3634987	4.5704474
rxn00777_d0_f	22.399902	21.022217	20.528442	20.179932	21.80957
rxn00777_d0_r	0	1.6531982	1.4447021	1.0410156	0.92541504
rxn00781_d0_f	0	0	0	0	0
rxn00781_d0_r	57.722656	56.769897	57.236145	56.466736	57.079346
rxn00782_d0_f	0	0	0	0	0
rxn00782_d0_r	63.648804	57.290894	52.451294	54.282104	57.026367
rxn00789_d0	0	0.10411217	0	0	0
rxn00790_d0	1.3341408	0.5122813	3.484924	4.2120233	2.832476
rxn00791_d0	0	0.11205596	0	0	0
rxn00799_c0_f	32.47638	32.503662	32.14142	32.62195	32.526245
rxn00799_c0_r	49.642212	53.563843	51.886475	53.915283	50.225464
rxn00800_d0_f	11.43811	9.473877	9.753235	10.134277	9.280792
rxn00800_d0_r	3.3995361	0.51904297	1.1461182	0.73065186	1.651825
rxn00802_d0_f	6.607544	8.942139	9.279419	8.036987	6.6463623
rxn00802_d0_r	5.3182373	6.2783203	7.4364014	6.378418	5.3461914
rxn00830_d0_f	0	0	0	0	0
rxn00830_d0_r	0	0	0	0	0
rxn00832_d0_f	0.20483398	0	0	0	0
rxn00832_d0_r	4.817383	4.5288696	4.161621	4.635498	3.9277344
rxn00834_d0_f	1.9937744	2.385254	2.045166	2.2264404	2.0632324
rxn00834_d0_r	2.0483398	1.8701172	1.8740234	2.1932373	1.3822021
rxn00838_d0	4.4531913	5.027418	4.9492345	5.673032	4.014607
rxn00839_d0_f	5.1367188	4.888977	4.8461914	4.8394165	4.577301
rxn00839_d0_r	4.4823	4.2390747	4.187378	4.187683	4.079132
rxn00863_d0_f	4.263794	2.8579102	3.3722534	2.887329	4.1638184
rxn00863_d0_r	5.378784	2.3736572	2.4072266	2.876709	3.6378784
rxn00899_d0	0	0	0	0	0
rxn00907_d0_f	19.131104	19.31604	16.386108	20.332031	20.672485
rxn00907_d0_r	8.283447	2.697998	0	1.9294434	5.125305
rxn00917_d0	0	0	0	0	0
rxn00929_d0_f	4.3916016	4.0880127	2.72937	3.6156006	3.8878174
rxn00929_d0_r	3.0491943	3.9403076	4.329956	4.349243	5.211792
rxn00931_d0_f	0.491333	1.4283447	1.5079346	0.7628174	1.1427002
rxn00931_d0_r	2.527832	1.2563477	0	0.19006348	0
rxn00947_d0	0	0	0	0	0
rxn00974_d0_f	11.010742	12.226227	14.003174	14.26416	12.242798
rxn00974_d0_r	12.429626	11.979126	16.00293	16.014038	12.020386
rxn00980_d0_f	1.151001	1.4884033	1.2625732	1.2333984	1.5356445
rxn00980_d0_r	0.9119873	0.723999	0.64489746	0.5979004	0.8977051
rxn01000_d0	0	0	0	0	0
rxn01007_d0	0	0.2941017	0.19743101	0.16863406	0.20292386
rxn01011_d0_f	0.3614502	1.276001	1.142456	1.1491699	1.3054199
rxn01011_d0_r	0.58947754	0.9786377	0.8909912	0.9057617	1.0754395
rxn01018_d0_f	2.409912	0.9210205	1.2957764	1.1149902	1.2085571
rxn01018_d0_r	0.8729248	0	0	0	0
rxn01019_d0_f	0.5270996	1.3892822	0.7513428	1.0761719	1.3269653
rxn01019_d0_r	0.7819824	1.5070801	1.5865479	1.7404785	2.0546265
rxn01069_d0_f	0.6871338	1.8580933	1.5706787	1.7209473	1.7617188
rxn01069_d0_r	0.14526367	0.83288574	0.28796387	0.65460205	0.8734131
rxn01100_d0_f	123.03064	116.34033	112.15527	112.90674	116.60193
rxn01100_d0_r	0	0.16033936	0.46624756	0	0.49578857
rxn01101_d0_f	11.248657	13.175415	15.001587	14.151794	14.372742
rxn01101_d0_r	3.0880737	4.60437	3.5459595	2.2415771	3.2634277
rxn01102_d0	0.18830875	0	0	0	0
rxn01106_d0_f	4.171692	6.2020874	2.7956543	5.993164	3.82312
rxn01106_d0_r	18.28894	18.690369	16.167603	17.375793	15.704102
rxn01111_d0	73.07091	70.11961	69.40807	69.26577	70.80346
rxn01115_d0	0	3.0974362	3.7537456	3.2364538	2.5596373
rxn01116_d0_f	0	0.3687744	0.38964844	0.24291992	0.3170166
rxn01116_d0_r	50.16394	48.06653	47.176147	47.340393	47.911682
rxn01200_d0_f	24.12915	22.931335	23.050232	23.14148	24.118286
rxn01200_d0_r	0	0.103637695	0	0	0
rxn01207_d0	0	0.35650128	0.26633933	0.2537093	0.47706446
rxn01208_d0	0	0	0	0	0
rxn01211_d0_f	9.025024	11.194946	11.136719	12.496338	11.036987
rxn01211_d0_r	0.89501953	0	0	0	0
rxn01249_d0_f	0	0.39031982	0.39471436	0.0904541	0.3027954
rxn01249_d0_r	0.18408203	0	0	0.036254883	0
rxn01255_d0	2.4789226	2.4007604	2.4850085	1.7413545	1.9437549
rxn01256_d0	0.82756567	0	0	0	0
rxn01257_d0_f	3.6068115	2.432495	2.1166992	2.098755	2.2890625
rxn01257_d0_r	4.251587	2.6470947	2.2939453	2.560669	2.7946777
rxn01258_d0_f	2.9055176	2.8009644	1.8084717	1.6989746	2.352356
rxn01258_d0_r	1.3874512	1.1452637	0	0	0.7246704
rxn01301_d0_f	5.129883	5.405884	3.8514404	4.1416016	4.7678833
rxn01301_d0_r	4.861206	8.479614	6.769409	6.791992	5.1272583
rxn01302_d0_f	1.3867188	1.0626221	2.3353271	2.3242188	2.4292603
rxn01302_d0_r	4.5826416	0	1.6776123	1.4238281	2.987976
rxn01332_d0	3.3285754	4.6856036	3.3946652	3.2078483	1.7127044
rxn01334_d0_f	0	0	0	0	0
rxn01334_d0_r	25.58728	25.2583	24.499817	24.61145	26.20996
rxn01345_d0_f	26.277222	26.844604	25.990479	26.049194	27.501709
rxn01345_d0_r	0	0	0	0	0
rxn01353_d0_f	5.1367188	4.888977	4.8461914	4.8394165	4.577301
rxn01353_d0_r	4.4823	4.2390747	4.187378	4.187683	4.079132
rxn01361_c0_f	13.987005	15.167222	15.154671	15.129124	15.093943
rxn01361_c0_r	13.159546	13.066352	13.332172	13.417168	13.514479
rxn01362_c0	0.43587133	1.296053	0.48378682	0.4950604	0.5327059
rxn01396_d0	0	0	0	0	0
rxn01434_d0	0.3457043	0.5635103	0.26767445	0.34251812	0.1955123
rxn01465_d0_f	4.188843	2.1715088	2.102295	2.2949219	2.755188
rxn01465_d0_r	5.720581	3.8286133	4.000122	4.000122	4.2608643
rxn01476_d0_f	4.1169434	2.4676514	2.6190186	2.638916	2.6950684
rxn01476_d0_r	4.7403564	0.32580566	0	0.4099121	0.9104004
rxn01486_d0	0	0	0	0	0
rxn01512_d0_f	5.1367188	4.888977	4.8461914	4.8394165	4.577301
rxn01512_d0_r	4.4823	4.2390747	4.187378	4.187683	4.079132
rxn01539_d0_f	0.96356654	0.88693905	0.8400648	0.85046124	0.9649472
rxn01539_d0_r	0.89821017	0.8935379	0.8069809	0.86090904	0.9184891
rxn01611_c0	0	0	0	0	0
rxn01636_d0_f	2.60437	1.0812988	0.3864746	0.65283203	1.1833496
rxn01636_d0_r	2.0072021	1.685791	1.9401855	2.0107422	1.7574463
rxn01637_d0_f	1.961792	1.6884155	2.5491943	2.3638916	1.442749
rxn01637_d0_r	2.8391113	0	0	0	0
rxn01643_d0_f	12.307068	10.125793	13.228882	10.288269	10.359863
rxn01643_d0_r	17.326782	13.333008	17.489014	13.296448	11.990173
rxn01644_d0	0.30170575	0.09659836	0.34317356	0.33459836	0
rxn01652_d0_f	2.6427002	2.9422607	2.9005127	3.1341553	2.6655273
rxn01652_d0_r	0.95666504	0	0	0	0
rxn01673_d0_f	5.1367188	4.888977	4.8461914	4.8394165	4.577301
rxn01673_d0_r	4.4823	4.2390747	4.187378	4.187683	4.079132
rxn01678_d0_f	5.1367188	4.888977	4.8461914	4.8394165	4.577301
rxn01678_d0_r	4.4823	4.2390747	4.187378	4.187683	4.079132
rxn01739_d0	3.3285754	3.6856227	3.0010357	1.8082757	2.416958
rxn01740_d0_f	0.19946289	0.84277344	1.6479492	2.4353027	2.0880737
rxn01740_d0_r	3.5114746	3.7839355	3.4561768	3.003601	3.182373
rxn01807_d0	0	0	0	0	0
rxn01827_d0	0	0	0	0	0
rxn01917_d0_f	9.421143	5.8270264	5.1780396	5.2800293	8.140137
rxn01917_d0_r	8.073486	6.081421	6.7962036	6.6591797	8.244507
rxn01974_d0_f	0.5383301	1.0321045	0	0.6750488	1.1506958
rxn01974_d0_r	0.90960693	1.3566284	0.19262695	0.59313965	1.420227
rxn01975_d0_f	2.0671387	1.2666016	1.8334961	1.5842896	1.472229
rxn01975_d0_r	2.9697266	0	0	0.06500244	0.15881348
rxn02159_d0_f	3.2174072	1.5227051	3.1482544	2.3131104	3.0007324
rxn02159_d0_r	5.0751953	1.3033447	2.3995361	2.8930664	2.8145142
rxn02212_d0	2.911916	3.4583926	2.4342263	1.9512947	1.0572112
rxn02213_d0	2.9498286	2.9993594	1.928049	1.0638721	0.8816376
rxn02251_d0	0	0.63972694	0.05761887	0	0.23964222
rxn02305_d0	0	0	0	0	0
rxn02320_d0_f	3.4760742	2.8032837	3.022522	3.2281494	3.5855103
rxn02320_d0_r	2.0456543	1.8918457	2.1983032	1.635498	2.4019165
rxn02373_d0_f	10.012512	8.970581	8.641968	8.61731	9.480164
rxn02373_d0_r	11.286987	9.357056	9.106201	9.24707	9.140991
rxn02374_d0	0.79042816	0	0	0.12473674	0
rxn02380_d0_f	1.2053223	0	0	0.030517578	0.07458496
rxn02380_d0_r	0.44128418	0.32061768	0.2915039	0.16503906	0.41870117
rxn02402_d0	0	0	0	0	0
rxn02465_d0_f	3.8695815	4.225102	4.9628997	4.865129	4.2202196
rxn02465_d0_r	4.6541066	2.399444	1.9627775	2.161012	2.6473346
rxn02473_d0	0	0	0	0	0
rxn02474_d0_f	1.3599854	1.7925415	1.7380371	1.7354736	1.7628784
rxn02474_d0_r	1.4290771	0.8666382	0.80908203	0.8585205	0.9758911
rxn02475_d0	0	0	0	0	0
rxn02476_d0_f	9.796997	9.816162	9.170776	9.114624	9.869873
rxn02476_d0_r	6.085449	6.1428223	5.462158	6.5878296	6.6870117
rxn02484_d0	0	0	0	0	0
rxn02507_d0	0	0	0	0	0
rxn02789_d0_f	0.62280273	0.3743286	0.11230469	0.036987305	0.30999756
rxn02789_d0_r	0.7158203	0.2083435	0.30908203	0.26672363	0.3201294
