rxn_ID	Control	FeLim	FeEx	ZnLim	ZnEx
EX_cpd00067_e0_o	366.96518	366.7487	366.2255	366.15985	366.14056
EX_cpd00007_e0_o	93.432495	78.69043	82.34584	81.6029	80.178734
EX_cpd00009_e0_o	341.79758	341.3878	342.26318	342.20517	341.5311
EX_cpd00008_e0_o	381.44348	381.0402	381.4096	381.34705	381.0361
rxn00001_d0_f	27.955355	29.296295	28.132193	28.448639	29.809984
rxn00018_d0	53.54022	53.43569	53.17937	53.178562	53.970184
rxn00048_d0	0	0	0	0	0
rxn00069_d0_f	18.456234	13.041618	13.798168	13.782383	14.186688
rxn00076_d0	0	0	0	0	0
rxn00077_d0	0.3100218	0.33175376	0.2874112	0.29465708	0.4067833
rxn00086_d0_f	6.878301	6.9749455	7.2849345	7.33013	7.117826
rxn00097_d0_f	39.75942	40.08893	38.14304	38.307957	39.6835
rxn00102_d0_f	10.260138	9.899179	10.046673	10.04216	9.8955345
rxn00117_d0_f	2.4732876	2.530823	2.538915	2.5363967	2.5564163
rxn00121_d0	3.825759	4.942885	4.220094	4.3507705	5.2989125
rxn00122_d0_f	6.104939	7.116373	6.4118466	6.546709	7.5167866
rxn00124_d0	0	0.019686697	0	0	0.029637465
rxn00148_d0_f	1.0496873	1.6799982	1.1877313	1.205557	1.2286316
rxn00151_d0	1.0295373	1.0696278	1.074231	1.1256195	1.1894546
rxn00154_d0	0	0	0	0	0
rxn00161_d0	0	0	0	0	0
rxn00175_d0	5.527915	4.786575	4.8341355	4.821603	5.0438023
rxn00179_d0_f	5.9480114	5.470185	5.158705	5.282879	5.7204213
rxn00187_d0	47.919125	41.272076	51.040752	48.57346	40.240425
rxn00191_d0_f	4.3225584	4.9015646	4.26693	4.407748	4.876269
rxn00192_d0	0	0	0	0	0
rxn00208_d0	0	0	0	0	0
rxn00209_d0	0	0	0	0	0
rxn00237_d0_f	7.3172083	7.5281115	7.3261395	7.259043	7.750571
rxn00248_d0_f	33.97891	33.80959	34.41031	34.32883	33.864025
rxn00260_d0_f	16.269901	16.775692	16.387487	16.471167	16.793556
rxn00272_d0_f	5.193665	5.1398487	5.0788045	5.083485	5.0995855
rxn00275_d0_f	12.552386	13.248247	12.515365	12.744297	13.291566
rxn00300_d0	0.040767003	0.4722937	0.32902023	0.3350105	0.43152964
rxn00313_d0	0	0	0	0	0
rxn00333_d0	0	0	0	0	0
rxn00337_d0_f	24.185648	22.71078	23.416819	23.192522	22.89559
rxn00338_d0	0	0	0	0	0
rxn00361_d0	2.9461668	3.327376	3.2239425	3.2483194	3.3095462
rxn00391_d0_f	3.6473312	5.0367937	4.1160874	4.230053	5.224461
rxn00392_d0	4.705952	5.955472	5.086198	5.1911716	6.214186
rxn00394_d0	1.1159767	1.4486578	1.3056328	1.3304558	1.3662599
rxn00409_d0_f	1.7905391	1.7726499	1.741476	1.7497282	1.7998983
rxn00414_d0	11.976701	12.394302	12.663323	12.548992	12.170172
rxn00420_d0_f	12.357583	11.912003	12.385674	12.31661	12.082443
rxn00459_d0_f	15.064142	14.873202	14.658284	14.506288	14.255236
rxn00493_d0_f	1.5278783	1.9132578	1.5030146	1.6266134	1.9702259
rxn00506_d0	0.18913527	0.6248252	0.47799832	0.5144967	0.6196294
rxn00527_d0_f	1.1423693	1.4356515	1.1276205	1.2172904	1.4809501
rxn00533_d0_f	8.50547	8.902901	8.563659	8.720119	9.171475
